Nome;Atualizacao;Link;Bolsista;OrientaÃ§Ãµes e supervisÃµes concluÃ_das;Resumos expandidos publicados em anais de congressos;Trabalhos completos publicados em anais de congressos;Artigos completos publicados em periÃ_dicos;Projetos de ensino;Resumos publicados em anais de congressos;CapÃ_tulos de livros publicados;Projetos de pesquisa;ApresentaÃ§Ãµes de Trabalho;ParticipaÃ§Ã£o em eventos, congressos, exposiÃ§Ãµes e feiras;ParticipaÃ§Ã£o em bancas de trabalhos de conclusÃ£o
Adao Wagner PÃªgo Evangelista;21/12/2018;http://lattes.cnpq.br/5171893735359718;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;13;25;50;1;1;1;4;0;0;21
Leonardo Santos Collier;17/01/2019;http://lattes.cnpq.br/7449368697500123;N/A;0;17;0;9;1;13;1;1;8;0;11
Jaqueline MagalhÃ£es Pereira;14/12/2018;http://lattes.cnpq.br/1137751863647184;N/A;0;3;1;7;1;20;0;4;2;0;28
Derblai Casaroli;22/01/2019;http://lattes.cnpq.br/1054839770814863;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;16;38;44;1;15;2;10;6;0;16
Thannya Nascimento Soares;18/12/2018;http://lattes.cnpq.br/5590256762396056;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;0;21;0;23;0;10;2;0;11
Adriano da Silva Lopes;17/12/2018;http://lattes.cnpq.br/2804927256135770;N/A;0;5;0;18;0;0;0;0;3;0;32
Matheus Gustavo da Silva;07/01/2019;http://lattes.cnpq.br/8739936719406585;N/A;0;2;0;6;0;5;1;11;0;0;21
Eliana Paula Fernandes Brasil;15/05/2018;http://lattes.cnpq.br/7324619074753727;N/A;0;6;0;18;3;0;0;7;7;0;16
Glenio GuimarÃ£es Santos;04/12/2018;http://lattes.cnpq.br/4590604606790400;N/A;0;1;22;10;1;2;1;6;5;0;11
Alexandre Bryan Heinemann;02/01/2019;http://lattes.cnpq.br/0452123469996239;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;3;10;24;0;2;2;4;12;0;3
Abadia dos Reis Nascimento;15/11/2018;http://lattes.cnpq.br/6270103344297514;N/A;0;1;0;23;3;2;2;11;4;0;22
Jolimar Antonio Schiavo;24/10/2018;http://lattes.cnpq.br/6847795121765024;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;29;1;23;0;13;2;4;0;0;2
FÃ¡bio Venturoli;19/12/2018;http://lattes.cnpq.br/3977914284672829;N/A;0;2;1;30;0;13;2;2;1;0;14
Marconi Batista Teixeira;23/01/2019;http://lattes.cnpq.br/6394236673481626;N/A;0;129;82;103;5;21;1;14;1;0;69
Enderson PetrÃ´nio de Brito Ferreira;22/05/2018;http://lattes.cnpq.br/6292879655540619;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;6;0;40;0;5;2;7;0;0;6
Larissa Leandro Pires;11/01/2019;http://lattes.cnpq.br/4811315528353849;N/A;0;3;0;6;9;24;0;2;3;0;62
Beata Emoke Madari;16/01/2019;http://lattes.cnpq.br/0302689027695014;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;9;0;26;0;13;1;10;9;0;4
Carlos Ribeiro Rodrigues;22/01/2019;http://lattes.cnpq.br/0322777847648021;N/A;0;16;0;10;0;7;0;5;0;0;11
Rilner Alves Flores;05/12/2018;http://lattes.cnpq.br/6161143914254137;N/A;0;14;1;33;15;65;2;16;21;0;22
Marcos Antonio Camacho da Silva;14/12/2018;http://lattes.cnpq.br/5387542970458883;N/A;0;6;1;15;0;8;0;20;4;0;0
PatrÃ_cia GuimarÃ£es Santos Melo;09/11/2018;http://lattes.cnpq.br/1508679345970114;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;22;0;21;2;23;0;3;0;0;18
Thiago LÃ_vio Pessoa Oliveira de Souza;06/09/2018;http://lattes.cnpq.br/9650183308779143;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;34;0;35;0;26;0;2;3;0;14
Francine Neves Calil;04/10/2018;http://lattes.cnpq.br/2520537051838618;N/A;0;2;0;18;0;1;2;5;4;0;30
Alan Carlos Costa;21/01/2019;http://lattes.cnpq.br/2154584522625285;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;60;2;20;0;31;0;0;2;0;2
Fabiano GuimarÃ£es Silva;21/01/2019;http://lattes.cnpq.br/5908103551594306;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;20;1;41;0;39;0;11;0;0;0
ElÃ_i Panachuki;11/12/2018;http://lattes.cnpq.br/4598968727968646;N/A;0;13;0;17;3;15;0;14;2;0;48
SÃ©rgio Roberto Rodrigues;04/12/2018;http://lattes.cnpq.br/0991554707340936;N/A;0;1;0;22;0;8;0;19;2;0;35
Helton Santos Pereira;23/01/2019;http://lattes.cnpq.br/0729719587905292;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 1D - CA 94 - Programa de Tecnologia e InovaÃ§Ã£o para AgropecuÃ¡ria;0;29;0;39;0;27;1;12;1;0;6
Manoel Soares Soares JÃºnior;23/01/2019;http://lattes.cnpq.br/0920319108540253;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;0;1;60;0;12;0;1;1;0;1
GessÃ_ Ceccon;29/11/2018;http://lattes.cnpq.br/2453001560034599;N/A;0;27;20;27;1;11;10;10;32;0;2
Flavio Alves da Silva;24/01/2019;http://lattes.cnpq.br/1713250447051507;N/A;0;19;7;32;2;8;0;21;0;0;52
Agenor Martinho Correa;02/09/2018;http://lattes.cnpq.br/0070274390977184;N/A;0;4;0;21;0;2;0;4;0;0;28
Eduardo da Costa Severiano;01/01/2019;http://lattes.cnpq.br/0288146552740769;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;30;0;23;0;4;0;13;9;0;5
Juliana de FÃ¡tima Sales;19/12/2018;http://lattes.cnpq.br/1250229850106551;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;52;0;37;0;12;0;32;10;0;6
EdÃ©sio Fialho dos Reis;11/01/2019;http://lattes.cnpq.br/4968560508763713;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;41;0;24;2;57;0;7;8;0;12
Frederico Antonio Loureiro Soares;17/09/2018;http://lattes.cnpq.br/9246782277916774;N/A;2;94;54;66;0;5;0;21;0;0;39
Claudio Brondani;18/01/2019;http://lattes.cnpq.br/4775600104554147;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;0;19;0;0;0;4;0;0;8
TomÃ¡s de Aquino Portes e Castro;27/12/2018;http://lattes.cnpq.br/7313401367533383;N/A;0;0;0;6;0;3;0;0;0;0;1
Osvaldo Resende;21/12/2018;http://lattes.cnpq.br/6442201572676110;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;90;9;62;0;31;0;21;5;0;3
Marcos Gomes da Cunha;27/10/2018;http://lattes.cnpq.br/2006008625763742;N/A;0;0;0;16;0;9;2;3;2;0;1
JosÃ© Alves JÃºnior;19/01/2019;http://lattes.cnpq.br/3418524049655817;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;15;26;48;0;7;2;11;18;0;46
Eliane Dias Quintela;24/09/2018;http://lattes.cnpq.br/7426637066408803;N/A;0;0;0;16;0;3;2;1;10;0;0
LÃ¡zaro JosÃ© Chaves;20/12/2018;http://lattes.cnpq.br/9990967290797379;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;0;0;22;0;0;1;1;4;0;0
Marta Cristina Corsi de Filippi;06/09/2018;http://lattes.cnpq.br/0029536556461484;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;1;0;34;0;17;1;10;1;0;7
JosÃ© Alexandre Freitas Barrigossi;04/01/2019;http://lattes.cnpq.br/5377957113836597;N/A;0;7;0;16;0;19;3;2;2;0;2
Luis Fernando Stone;24/01/2019;http://lattes.cnpq.br/0233514913817700;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1C;0;4;18;39;0;11;6;7;3;0;0
Joao Batista Duarte;26/10/2018;http://lattes.cnpq.br/4117228759548186;N/A;0;4;0;9;0;14;0;1;0;0;3
Wilson Mozena Leandro;23/09/2018;http://lattes.cnpq.br/9052207260053937;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;3;0;20;0;0;0;6;1;0;4
Silvana Petrofeza da Silva;27/03/2017;http://lattes.cnpq.br/6823998544968373;N/A;0;0;0;10;0;0;0;0;0;0;0
Adriane Wendland;18/12/2018;http://lattes.cnpq.br/7196405181790361;Bolsista de Produtividade Desen. Tec. e ExtensÃ£o Inovadora do CNPq - NÃ_vel 2;0;19;3;21;1;1;2;10;7;0;5
Paulo MarÃ§al Fernandes;27/11/2018;http://lattes.cnpq.br/9497281141847296;N/A;0;0;0;16;0;6;0;6;0;0;1
Murillo Lobo Junior;23/01/2019;http://lattes.cnpq.br/3352833548668460;N/A;0;0;0;16;0;3;7;3;0;0;2
Jaqueline Rosemeire Verzignassi;26/11/2018;http://lattes.cnpq.br/5205683457383629;N/A;0;4;1;20;0;83;2;2;0;0;3
Cristiane Goncalves de Mendonca;24/09/2018;http://lattes.cnpq.br/5777690283907013;N/A;0;0;0;6;0;0;0;0;0;0;39
SÃ©rgio Tadeu Sibov;15/09/2018;http://lattes.cnpq.br/4627553641870284;N/A;0;2;0;8;0;49;0;9;9;0;3
Anderson Marcos de Souza;09/11/2018;http://lattes.cnpq.br/0762320192832740;N/A;0;6;1;11;0;8;0;4;3;0;9
Marisa Alvares da Silva Velloso Ferreira;15/01/2019;http://lattes.cnpq.br/2086301050707005;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;0;6;0;4;2;1;2;0;2
Nori Paulo Griebeler;30/11/2018;http://lattes.cnpq.br/2953067359172793;N/A;0;1;0;4;0;1;1;1;0;0;0
Vladia Correchel;30/11/2018;http://lattes.cnpq.br/4781536691286837;N/A;0;11;2;15;3;16;0;5;1;0;14
Edson Luiz Souchie;21/12/2018;http://lattes.cnpq.br/4090961831603253;N/A;0;23;0;15;0;37;0;3;0;0;7
Joaquim Carlos Goncalez;04/09/2018;http://lattes.cnpq.br/0220830488629637;N/A;0;4;8;21;0;0;1;1;3;0;5
Rosana de Carvalho Cristo Martins;08/11/2018;http://lattes.cnpq.br/0255187706160134;N/A;3;10;1;12;0;6;1;0;14;0;30
Reginaldo SÃ©rgio Pereira;14/08/2018;http://lattes.cnpq.br/2393229242953160;N/A;0;0;0;29;0;0;2;0;0;0;0
Robert Neil Gerard Miller;22/01/2019;http://lattes.cnpq.br/0960398662960668;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;0;0;22;0;16;5;13;1;0;2
Reginaldo SÃ©rgio Pereira;14/08/2018;http://lattes.cnpq.br/2393229242953160;N/A;0;0;0;29;0;0;2;0;0;0;0
Renato VinÃ_cius Oliveira Castro;17/12/2018;http://lattes.cnpq.br/2397768052594119;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;7;5;51;1;1;1;16;1;0;6
Eli Regina Barboza de Souza;30/11/2018;http://lattes.cnpq.br/7641431808466123;N/A;0;15;1;22;0;10;1;13;8;0;43
Adriano Stephan Nascente;22/01/2019;http://lattes.cnpq.br/3194091518396388;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;15;14;93;1;39;1;17;25;0;1
Renato de Oliveira Resende;23/01/2019;http://lattes.cnpq.br/2321059443128660;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1A - CA AG - Agronomia;0;0;0;24;0;0;0;9;0;0;0
Henrique Marinho Leite Chaves;23/03/2018;http://lattes.cnpq.br/3479480621039646;N/A;0;1;1;7;0;0;0;0;4;0;0
Juvenil Enrique Cares;14/09/2018;http://lattes.cnpq.br/3207715700779256;N/A;0;0;0;9;0;3;9;2;0;0;0
Eraldo Aparecido Trondoli Matricardi;05/12/2018;http://lattes.cnpq.br/3238397066723847;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;4;35;2;2;2;10;8;0;22
Eder Pereira Miguel;07/01/2019;http://lattes.cnpq.br/5362897230508312;N/A;0;0;3;33;0;1;0;4;2;0;7
Adalberto CorrÃªa CafÃ© Filho;23/01/2019;http://lattes.cnpq.br/3819793758148766;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;0;11;0;5;1;1;0;0;18
JosÃ© Carmine Dianese;17/01/2019;http://lattes.cnpq.br/2924779756458377;N/A;0;0;0;13;0;15;4;0;14;0;2
Reuber Albuquerque Brandao;14/01/2019;http://lattes.cnpq.br/5804582372968711;N/A;0;0;0;21;0;0;1;4;0;0;20
Alexandre Florian da Costa;11/09/2018;http://lattes.cnpq.br/4300200185894332;N/A;0;5;5;11;0;0;0;2;5;0;19
Rita de CÃ¡ssia Pereira Carvalho;17/09/2018;http://lattes.cnpq.br/7043613563333719;N/A;0;0;0;5;0;33;8;12;1;0;8
ÃÅlvaro Nogueira de Souza;09/08/2018;http://lattes.cnpq.br/7564343207826298;N/A;0;0;1;15;1;0;0;1;0;0;1
Humberto Angelo;24/12/2018;http://lattes.cnpq.br/7422862336520174;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;0;4;41;0;0;0;3;1;0;3
Ildeu Soares Martins;22/09/2017;http://lattes.cnpq.br/8380544778619327;N/A;0;0;0;11;0;0;0;0;0;0;26
Warley Marcos Nascimento;16/11/2018;http://lattes.cnpq.br/4870546315235649;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;0;0;21;0;5;25;13;2;0;1
Alcides Gatto;10/12/2018;http://lattes.cnpq.br/9363824507242645;N/A;0;4;1;11;0;1;1;1;3;0;12
JosÃ© Roberto Rodrigues Pinto;07/01/2019;http://lattes.cnpq.br/8763062952090544;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;3;0;19;0;1;0;6;0;0;15
Ailton Teixeira do Vale;18/12/2018;http://lattes.cnpq.br/9046091156129405;N/A;0;1;0;26;0;3;0;0;1;0;16
ClÃ¡udio Henrique Soares Del Menezzi;06/01/2019;http://lattes.cnpq.br/9962937225304733;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 2;0;1;13;31;0;6;0;2;10;0;23
Leonardo Silva Boiteux;16/01/2019;http://lattes.cnpq.br/3592032092912418;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1D;0;1;0;47;0;47;5;7;1;0;5
Alice Kazuko Inoue Nagata;01/11/2018;http://lattes.cnpq.br/9710960477270791;Bolsista de Produtividade em Pesquisa do CNPq - NÃ_vel 1B;0;0;1;32;0;42;3;12;1;0;4
Alba ValÃ©ria Rezende;30/11/2018;http://lattes.cnpq.br/8798342921398977;N/A;0;5;5;17;0;2;1;1;2;0;16
